simpleGenericsClassExample.Container`1<T>::.ctor(!T)
ldarg.0,2
call,1
nop,2
ldarg.1,1
stfld,1
ret,1

simpleGenericsClassExample.Container`1<T>::Peek()
nop,1
ldarg.0,1
ldfld,1
stloc.0,1
br.s,1
ldloc.0,1
ret,1

simpleGenericsClassExample.Pair`2<T1, T2>::.ctor(!T1, !T2)
ldarg.0,3
call,1
nop,2
ldarg.1,1
stfld,2
ldarg.2,1
ret,1

simpleGenericsClassExample.Pair`2<T1, T2>::Print()
ldstr,1
ldarg.0,2
ldfld,2
box,2
call,1
ret,1

simpleGenericsClassExample.Program::Main(string[])
nop,3
ldc.i4.s,2
newobj,2
stloc.0,1
ldloc.0,1
callvirt,2
stloc.1,1
ldstr,2
box,2
ldloc.1,1
call,3
stloc.2,1
ldloc.2,1
ret,1

simpleGenericsClassExample.Program::.ctor()
ldarg.0,1
call,1
nop,1
ret,1

